Module,Part,Question,Qn,section,module,C_N,Score,Description,Comment
One,Organization Leadership,"Q7. Engagement, feedback to management, Norms and values",7,2,1,1_2_7,5,"Our organization does provide regular opportunities for staff to express constructive feedback or concerns to leadership and Our organization invests some time or resources in reflection or learning, and Our organization does have a common set of basic beliefs and values that are written, shared broadly, and held by all or the majority of staff and Many staff members are culturally sensitive with respect to internal management or delivery of services.","They have regular staff meetings where staff can speak freely, have cost center levels, have department or project team meetings, so there are platforms where staff can provide updates and concerns. 

They have open door policy with supervisor and supervisee engagement. Also have staff appraisal processes. Have a whistle blower policy and a hotline and anonymous email address to write to with concerns

For major policy updates they present the proposed changes to a staff meeting and give people an opportunity to comment and provide feedback; There is also a formal grievance procedure."
One,Organization Leadership,Q8. Management and Operations Capacity,8,2,1,1_2_8,3,"Adequate capacities, to manage its finances; recruit, develop, and retain talent; and maintain critical infrastructure and systems","Overall yes, but the MOH funding is quite limited for the 6 centers they own. All their leadership team is covered by the MOH funding so it is not always adequate. Example: If they wanted to add another senior HR director, who has a large scope of also IT and transport – if they needed a new position, they are limited

They feel that they can get good quality staffing – they are moving towards integration so that they can leverage existing talent in the organization eg buying LOEs from the projects, cross project.

Their salary structure is NOT similar to the government structure – they are lower; Most people who leave Baylor will move to the government; Nurses leave for job security because of permanent
Salary scales are based on market research and they try to benchmark salaries with other NGOs and try to offer similar salaries. Major survey was done about 2 years ago.

Some of their cadres do not align with public service establishment especially at the community level; This includes
-	HTS counselors – these play a critical role for HTS
-	Professional counselors who also play a critical role in testing
-	Case managers
-	Specialized nurses such as cervical cancer nurses 
-	MOH structure has a nurse that has integrated services

In the sites where they work, they would be able to continue even if PEPFAR funding is taken away using their existing MOH Subvention staff that are currently there; The TA support is mostly given to the other 24 sites

How do they pare down their operational costs so that they are prepared for reduced funding? In the sustainability road map, government will transition highly skilled expertise to the government - they have tried to offer salaries that are not too far off from the government salaries


"
One,Technical Leadership,"Q1. Does the identified leader(s) have the technical expertise and experience managing prevention, care and treatment services?",1,3,1,1_3_1,5,Significant experience and expertise,Most have worked in Lesotho for years
One,Technical Leadership,"Q2. Does the leadership need assistance in setting up prevention, care and treatment services?",2,3,1,1_3_2,4,Experienced but in need of specific assistance,"They have been getting TA through EGPAF since 2019. The only new area is them being a TA partner; So they are experienced as an implementer of services, but it’s a newer-ish area for them.

They have been getting TA - just need help continuing to keep updated with the latest HIV knowledge and expertise. They are a main clinical partner supporting the MOH and are well positioned to support local partners, but will still always need ongoing updating. 

Research portfolio could use strengthening. The local University mostly does social research – there is a research portfolio. It could be growth area to strengthen collaborations. LEBOHA – Lesotho Boston Health Alliance is also one that has a partnership funded by the MOH through a subvention. So they could also strengthen collaborations with subvention partnerships with others such as Lesotho red cross, etc.

Also knowledge management could do better - Its part of the strategic plan and mission"
One,Technical Leadership,Q3. Is the leadership engaged in capacity building for care and treatment programs?,3,3,1,1_3_3,5,The leadership always engages in capacity building,"Their team is always engaged and involved with the MOH and technical capacity building activities

They are always seated at the table along with the other partners
EGPAF – international
M2M (though more regional), Lesotho network of PLHIV, Lenosoa (but this is a community implementer), Christian Health Association of Lesotho (CHAL) - operate 40% of the public health facilities in the country. They operate the facilities. They are expanding their scope now etc"
One,Technical Leadership,Q4. Does the leader(ship) sit on national/local care and treatment services coordinating bodies and/or TWGs?,4,3,1,1_3_4,5,The leadership serves on several specific TWGs,"HIV, TB, PREP, HRH, PMTCT, HTS, SI, SRH "
One,Technical Leadership,Q5. Is the identified leader(ship) used as a resource by other care and treatment programs?,5,3,1,1_3_5,5,Leadership always used as a resource,See above
Two,Program Planning,"Q1. The organization has specific and standardized program management structures, processes and tools that are documented",1,1,2,2_1_1,4,Documented and comprehensive ,Yes – have a grants management policy and also project specific tools such as work plans 
Two,Program Planning,"Q2. Essential project award documents (i.e. contracts, project scope, approved work plans, budget) are available, up to date and accessible to relevant team members",2,1,2,2_1_2,4,"All project documents are available and up to date, but not accessible to team (some documents","Project directors have access to all the essential project documents, as well as Lineo. PD then shares to the relevant team members, so program teams get access to the work plans and finance teams have access to the; They are stored in individual laptops – they do have a SharePoint eg for the contracts and grants team

Finance director is also copied on all "
Two,Program Planning,Q3. Annual work plans are collaboratively developed with inputs from key stakeholders and team members,3,1,2,2_1_3,5,Work plan developed with inputs from all relevant internal team members and all key stakeholder,"For MOH projects, they engage with heads of departments who engage with their respective teams, and the medical director consolidates the inputs from all the teams, then it goes up to the technical director who reviews and provides inputs to ensure strategic plans are integrated, and then final to Lineo

Heads of departments engage with the all their teams include service delivery teams such as nurses etc

Almost the same approach is used for PEPFAR projects, once they get the COP allocation and SOW, heads of departments speak with respective teams to get the inputs."
Two,Program Planning,"Q4. The work plan considers and aligns with the available budget (funding), time and required resources (HR, etc.) (Assessor should review the workplan and ensure alignment with budget/scope)",4,1,2,2_1_4,5,"Work plan aligned with budget, time and resources","Yes – have to balance with the need to be seen as a partner who is responsive but try to be careful not to overcommit

EGPAF covers 8 districts and Baylor 2, and sometimes EGHPAF is funded for certain things and Baylor is not, yet expectations are the same
Recognize the strain that local organizations face when given same expectations as INGOS, yet vastly less funding. They have been given platforms (through USAID the local partners meeting that was held in Joburg where they presented the journey from sub to prime. Also where USAID has invited partners to share feedback and inputs to local partners, even in panel discussions) to provide their concerns e.g. raising the challenge of proposal development and how expensive it is and they don’t have unrestricted funds to turn around a highly competitive proposal is a huge strain on the organization – they have seen a shift towards concept notes and co-creation from USAID which has really been helpful

Also should not have cost share requirements which they cannot meet but yet can meet the technical requirement
"
Two,Program Planning,"Q5. Relevant program documents such as the ones below are all developed and disseminated to appropriate staff during start up
-    Theory of change/LF
-    Risk and Mitigation plan
-    Performance Monitoring Plan
-    Procurement Plan
-    IRB/ethical reviews
-    HR Plan
-    Communication Plan
-    Strategic Plan",5,1,2,2_1_5,,,"They do not have a risk and mitigation plan, but do have project specific PMPs and procurement plans.

They do not not an overall consolidated plan, have approaches – are working on this for the MOH funded subvention but each individual project does have specific HRH plans

They also do not have a communication plan for the organization. For USAID they have branding and marking plan
"
Two,Program Planning,"Q6. Prior to working on a project, relevant staff are oriented on the award document, project deliverables, terms and conditions, rules and regulations, reporting requirements etc.",6,1,2,2_1_6,4,Most staff updated on most aspects of award and deliverables,Check with the project directors – they bring all the project teams together centrally and bring them together for a 2-3 day orientation
Two,Program Implementation,"Q1. A clear program structure is in place to support implementation, including people responsible to complete and monitor all program deliverables",1,2,2,2_2_1,5,All program members in place with a structure and roles/responsibilities for deliverables,"Each project has an org chart set out in the proposal stage including clear roles and responsibilities for each individual – they don’t have a set structure for the entire organization, just have project different. They are moving towards a more integrated structure where staff members who can go across projects to achieve a more integrated approach – have started to do this with HR and will towards this in finance"
Two,Program Implementation,Q2. The organization ensures that all staff hired meet the job description (JD) requirements and qualifications for program management and delivery,2,2,2,2_2_2,5,All staff meet both JD requirements and qualifications,"Are mostly able to fill all their positions, only rarely do they struggle with very specific expertise eg when looking for DREAMS advisors which was new in the country it was tough to identify people with that given expertise – overall national challenge because the country is small and there is an expectation to recruit local experts because govt is not open and receptive to work permits for foreign recruitments"
Two,Program Implementation,Q3. The organization ensures that there are adequate numbers of staff required to meet program management and delivery (staffing norms are aligned with scope),3,2,2,2_2_3,4,All required positions filled,Not currently but about 95% of the positions are filled – current open positions are due to turnover 
Two,Program Implementation,"Q4. Finance and project management leadership staff have been trained on USG management processes and requirements. (If yes, who/ how many, include in comments)",4,2,2,2_2_4,2,Some staff trained on USG management processes and requirements,"Sustainability Solutions offered a training about 3- 4 months ago 

Only a small number were trained, so there are still some who have not yet been trained. So there are still some gaps here – part of the challenge is that the trainings have to be paid for."
Two,Program Implementation,"Q5. Finance, project management leadership staff have been trained on other donor management processes and requirements. (If yes, who/ how many, include in comments)",5,2,2,2_2_5,1,No staff trained on any other donor management processes and requirements,Global fund does not offer training – they did give a half-day session on their rules
Two,Program Implementation,"Q6. There is an established process for project teams to meet regularly and evaluate project performance and challenges and minutes are archived.

(Includes project management, clinical management, senior management)",6,2,2,2_2_6,4,"Planned, frequent (at least monthly) program meetings held with clear agenda and relevant stakeholders","Monthly meeetings, some teams may meet even more frequently. They do document the meetings. They have monthly performance meetings with PEPFAR and team meets to prepare

Also have weekly and biweekly meetings where they discuss progress"
Two,Program Implementation,"Q7. There is an established process to document and disseminate changes in implementation over time (key changes in targets, budget, contracts, deliverables, etc.)",7,2,2,2_2_7,1,No change management process,"Most of their changes are documented in the NOA e.g. additions to scope by COVID

Performance review meetings are an opportunity to get feedback on programmatic shifts and approaches"
Two,Program Implementation,Q8. The organization has processes in place to manage and mitigate program delivery risks (risk management and mitigation plans),8,2,2,2_2_8,2,Ad hoc risk management process,
Two,Program Implementation,"Q9. Project close out protocols/check lists in place, including clear transition planning",9,2,2,2_2_9,2,Ad hoc close out process,"Yes, in place – project specific 

Can look at the KB tracker which also includes close out form the subaward, reporting"
Two,Program Reporting,"Q1. Routine/monthly performance data is reviewed, verified, and used for program management and program quality improvement, including non-technical areas like fleet management",1,3,2,2_3_1,4,"Program data available, verified and reviewed routinely","Yes – they have a budget monitoring team for KB that meet and review performance and how they are spending; This process helped to address burn rates which were low

They are also doing this in COHIPSEC and Leader – for cohipsep most of the budget is personnel, not too much under trainings

Still work in progress from the overall organization perspective – to review things at all cost centers together"
Two,Program Reporting,Q2. Program reports track workplan/budget progress and indicators,2,3,2,2_3_2,5,All program reports available and document progress against indicators,"Project directors file all the final versions of the reports – there is no knowledge management portal or folder where these are stored. The teams also use these reports to inform the development of the PPT slides

Quarterly reports may not always be shared back down to the teams

One of their goals is a comprehensive knowledge management where key documents could be stored and accessible to all relevant staff."
Two,Program Reporting,Q3. There is a process that ensures appropriate persons review and verify project reports prior to submission to donor/stakeholders to ensure quality,3,3,2,2_3_3,2,Informal ad hoc review and verification process,"There is a process for review and verification of reports but it is not formally documented. 
Dept contributions are made and then sent to Medical director, then passed to technical director who writes up the report and sends to Lineo.

CoHIPSEC is the same – project director reviews and provides feedback before the PI reviews and approves. Deputy project director and program manager draft the report"
Two,Program Reporting,"Q4. As a whole, does the governing body communicate effectively with the Managing Director/Chief Executive?",4,3,2,2_3_4,5,All program reports are submitted on time and meet all reporting requirements,All reports are submitted on time
Two,Program Reporting,"Q5. Program reports are used internally and help the organization to review strategies and activities, identify constraints and opportunities, formulate lessons learned and good practices.",5,3,2,2_3_5,4,All technical reports are available and are sometimes used to improve performance,"Not in a formal process, in an adhoc way. Lineo tries to attend most of the performance review meetings but at least monthly, the information that is shared to the donor is shared with her and she pulls the challenges and discusses this with the board. She also has biweekly meetings with the program leads so they can flag issue to her directly She also has"
Two,Program Reporting,"Q6. Financial expenditures routinely reviewed, including burn rates, pipeline, accruals",6,3,2,2_3_6,5,"All financial expenditure data available and reviewed routinely, and used to adjust implementation","Monthly finance reviews happen with technical and leadership teams

MOH finance reports sent quarterly"
Two,Knowledge Management,"Q1. A communications plan is developed at the project outset and shared with relevant team members (including branding, marketing)",1,4,2,2_4_1,1,No communication plan,"A growth area for them. There is some language in their HR manual around communication but limited

They also had a KM person for KB but this person is leaving given the end of the grant.
They follow project specific programs"
Two,Knowledge Management,Q2. Relevant program implementation progress and updates are routinely shared with stakeholders and program beneficiaries and obtain their inputs to inform program changes,2,4,2,2_4_2,2,"Some information shared with some stakeholders and beneficiaries, sometimes","Have a drafted stakeholder engagement SOP, but have not finalized and its not implemented and operationalized

They post on their website, and also have social media channels which they utilize

They have an outreach based at the center of excellence clinic in maseru and they do outreach and develop pamphlets they help with that eg for world aids day – they coordinate these activities

They have slide deck templates and letter heads – these are in place but not formally documented in a structured 

They have an annual Baylor network conference – they also present at this event posters etc and about 15 people travel to attend this conference every year and it is sponsored by the Houston office 

They have journal publications on a somewhat regular basis – they try to share them with the MOH – they don’t have a defined stakeholder engagement list – collaboratively developed studies. Some staff members also working on masters etcs and 

For other conferences its AdHoc – if someone can get funding and get a scholarship it happens – maybe one person per year or less sometimes"
Two,Knowledge Management,"Q3. Meetings with key stakeholders such as Ministry of Health, CDC and other donors are held regularly to provide updates on implementation and obtain their inputs to inform program changes",3,4,2,2_4_3,4,Routine meetings held with all stakeholders and beneficiaries ,
Two,Program Performance,Q1. Have there been any compliance issues raised by any donor?,1,5,2,2_5_1,4,Compliance issues raised on only one project/award,"USG audit findings have found some weaknesses such as interest-bearing accounts but no qualified audit since 2017
This was due to a major fraud issue that happened in 2016"
Two,Program Performance,"Q2. How have donors (including government and private sector) rated the programs or projects of the organization
	Describe evidence supporting this rating",2,5,2,2_5_2,1,No rating,"Global Fund through PMU has given performance ratings for organization but they don’t share it with Baylor

For the leader project, there is a performance dashboard that shows all the indicators which is tied to their milestones

SIMS assessments are confucted and they performed well on the most recent SIMS for KB they got 100% for the last ones done

KB risk of being put on a PIP that was then retracted by USAID. There was a second one that was resolved and was declared that it did not meet the criteria. Year 2 of the 5 years award

No COHIPSEC negative feedback from CDC as far as they know – the program geographic scope was changed from end of YR1 to YR2 and there have been major delays from MOH to approve activities"
Two,Program Performance,"Q3. How have beneficiaries/clients rated the programs or projects of the organization
	Describe evidence supporting this rating",3,5,2,2_5_3,3,High,Community led monitoring program is ongoing funded by Global Fund and their report was positive. The last patient satisfaction survey was in 2021
Two,Program Performance,Q4. What percent of project results targets have been met on time and on budget?,4,5,2,2_5_4,4,75%,
Three,Service Delivery Standards,Q1. What is the program approach to care and treatment (C&T) service delivery?,1,1,3,3_1_1,5,Organization can serve as a model for others,"Baylor is a C&T program in itself, although it is focused on pediatric clients, there is a strong family-oriented approach. Expandable capacity for the community were it not for the design of the project."
Three,Service Delivery Standards,"Q2. Has the organization adopted recognized international, national standard operating procedures for HIV service delivery?",2,1,3,3_1_2,4,"SOPs exist, up to date, aligned with national and international guidelines, used often","The organization does have PPT for services following the dissemination of SOPs, which have all been developed in alignment with the national and international guidelines."
Three,Service Delivery Standards,Q3. The process whereby C&T beneficiaries are selected,3,1,3,3_1_3,4,"Guidelines on selection of beneficiaries exist, includes some community involvement and are used often","With the community project, the organization is still trying to figure out whether they are being reached. For the C&T program, the organization. The community project does gain access to the communities through the community gatekeepers. The project is part of the Community-led monitoring program in the country. The suggestion is that the initiatives need to be constantly recalibrated to make sure they are refined to the beneficiaries."
Three,Service Delivery Standards,Q4. Activities/process towards minimizing stigma/discrimination in C&T activities,4,1,3,3_1_4,5,"Relevant protocols in place in consultation with community, continually assesses impact and used often",Stigma and discrimination prevention is part of the on-boarding for all organizational staff. The country does have a Patient Charter which guides on the conduct of service providers in interacting with clients. Ethics certification which expires every two years. The CLM also addresses feedback on the impact of stigma and discrimination from the beneficiaries. CoHIPSEC projects is deliberately designed to address stigma and discrimination. The organization does facilitate Community Norms Training meetings.
Three,Service Delivery Standards,Q5. Activities/process towards addressing gender mainstreaming in HIV service delivery,5,1,3,3_1_5,4,Relevant protocols in place in consultation with community and used often,Differentiation of services to cater for different constituents. The country is also working on the deliberate engagement of men by working on a strategic plan (recent as November). The funding model however doesn’t meet the activity needs (Caring Fathers).
Three,Service Delivery Standards,Q6. Provides services in a physical environment that conforms to national and international minimum standards,6,1,3,3_1_6,4,Defined minimum standards required for C&T space including confidentiality ,"For the C&T program there are designated physical spaces for the provision of services. For the CoHIPSEC project, it does use mobile clinics and temporary spaces. The design of the Community project is such that it provides comprehensive services and minimizes stigmatization."
Three,Service Delivery Standards,Q7. Process employed in attracting users to services provided,7,1,3,3_1_7,4,Documented process in place that involves community in targeting clients and used often,CoHIPSEC has youth mentors and lay counsellors who have been trained on community mobilization. There is a draft organizational strategic plan that documents the processes for attracting users to the services provided.
Three,Service Delivery Standards,Q8. The extent to which the community is involved in the decision-making regarding services provided,8,1,3,3_1_8,4,Some community involvement with regular feedback and review,The organizations did hold formative FGDs with beneficiaries to co-define the problem and co-design the interventions. There is a healthy infusion of CLM in the implementation of CoHIPSEC. There is active engagement with the community gatekeepers as well as feedback meetings with sub-constituents. The current approach to the COP is a person-centred approach.
Three,Service Delivery Standards,Q9. Organization links with other service providers for the benefit of its clients,9,1,3,3_1_9,5,Integrated links with other services providers that meet the needs of all clients,"The organization and all the programs have a system for linkages and referrals of clients for other services beyond the scope of the organization, ensuring that they close the referral loop."
Three,Service Delivery Standards,Q10. Internal skills building conducted by the organization,10,1,3,3_1_10,2,Informal skills building activities ,"For the M&E teams it seems that there is no formal process for skills building that is internally driven. The IT department does have a skills audit driven capacity development plan. There needs to be a formal skills audit by the organization to guide capacity building activities for then TA teams, beyond the skills building initiatives targeting staff providing direct service delivery at facility or community level."
Three,Service Delivery Standards,Q11. Is there an identified technical leader or leadership team within the organization who is responsible for providing overall technical direction service delivery and treatment programs?,11,1,3,3_1_11,5,There is a technical leader and leadership team that always meet and provide consistent direction,This is a standard for the organization across it portfolio
Three,Service Delivery Standards,Q12. Are HIV services integrated with other health care services (describe),12,1,3,3_1_12,5,HIV services always integrated,Services are fully integrated.
Three,Service Delivery Standards,Q13. Activities can be implemented long-term beyond the life of specific projects (sustainability),13,1,3,3_1_13,3,"Documented, formal sustainability plan, reviewed sometimes ","The Youth Advisory Councils are structures established under the project whose operations can be sustained outside the project. The way the project staff for the community project are being recruited is such that the individuals are from the community that is benefiting from the services. Currently the program is working with VHWs to ensure sustainability of community-based interventions. They are part of the Community Health Services Delivery TWG that is working on aligning the current work with CHW. The C&T program does have an objective on sustainability through working with the DHMTs, being deliberate about skills transfer.
The Government is currently working on the National HIV/TB Sustainability Roadmap to which Baylor is actively contributing."
Three,Service Delivery Standards,Q14. The organization has capacity to collect and manage data accurately,14,1,3,3_1_14,4,Collection and management of data occur with specific documented procedures and data use protocol ,The program does have a data use protocol but may need to be reviewed to define data use cases.
Three,Service Delivery Standards,Q15. Does the organization have a data quality assurance and improvement process?,15,1,3,3_1_15,5,"Extensive capacity to maintain data quality, including data quality assurance process, continuously implemented",
Three,Service Delivery Standards,Q16. Have relevant staff been trained on national clinical standards and how to achieve them?,16,1,3,3_1_16,5,All staff have been trained on all SOPs,This is a standard across all programs supported by Baylor including CoHIPSEC
Three,Service Delivery Standards,Q17. How often are staff trained on national clinical standards and use?,17,1,3,3_1_17,5,Once a month,Weekly CMEs in addition to training on new guidelines.
Three,Service Delivery Standards,Q18. Are national service delivery standards consistently applied?,18,1,3,3_1_18,5,Standards are always applied,The Project does conduct internal SIMS assessments as well as conducting joint supportive supervision with the DHMTs using standardized tools.
Three,Service Delivery Standards,Q19. Are national service delivery standards consistently monitored?,19,1,3,3_1_19,5,Standards are always monitored,
Three,Service Delivery Standards,Q20. Is patient confidentiality maintained during all patient/provider interactions?,20,1,3,3_1_20,5,"Patient confidentiality during patient/provider interactions, always",(move to similar question above)
Three,Human Resources For Health - Organization,Q1. Are staff professional development needs regularly identified?,1,2,3,3_2_1,5,Needs are always identified,For the DSD teams the capacity development needs are regularly identified and training contextually delivered.
Three,Human Resources For Health - Organization,Q2. Are there structured skills needs assessment tools to identify areas for capacity building?,2,2,3,3_2_2,2,Limited tools,The organization does have a structures mentorship approach but there is no standardized tool for skills auditing.
Three,Human Resources For Health - Organization,Q3. Are there any organization-specific skills building activities being conducted?,3,2,3,3_2_3,5,Specific skills building activities always going on ,The organization has various communities of practice.
Three,Human Resources For Health - Organization,Q4. Are the skills building activities based on a needs assessment?,4,2,3,3_2_4,,,(see similar question as above)
Three,Human Resources For Health - Organization,Q5. Are appropriate curricula used?,5,2,3,3_2_5,5,Specific curricula are used and is current,All service providers are trained using specific curricula.
Three,Human Resources For Health - Organization,Q6. Is there a mechanism to evaluate the relevance and effectiveness of the skills building activities conducted?,6,2,3,3_2_6,3,Nonspecific evaluation of skills building activities,"To evaluate impact of skills building, the program uses service quality improvement indicators"
Three,Human Resources For Health - Organization,Q7. How well is the organization able to work with targeted communities?,7,2,3,3_2_7,5,Always works with communities,
Three,Human Resources For Health - Organization,Q8. Is the composition of the community reflected in the organization?,8,2,3,3_2_8,5,Strong reflection of the community in the org and continuous participation,There is a good representation of the community in the organizations especially for the CoHIPSA project where the youth are the one conducting community service demand generation
Three,Human Resources For Health - Health Facilities,Q1. HRH planning and deployment aligns with the MOH HRH Strategic Plan,1,3,3,3_3_1,4,HRH planning and most positions support align with the MOH Strategic Plan,There are still some cadre that are not in the MOH establishment.
Three,Human Resources For Health - Health Facilities,"Q2. HRH data is collected for the health facilities you support, including number of health workers, in-service training needs, etc.",2,3,3,3_3_2,4,Comprehensive HRH data collected occasionally for all cadres supported,The CoHIPSA project used the DREAMS program ratio to place youth facilitators across the different communities. All the community cadre are trained but no routine data on in-service training needs.
Three,Human Resources For Health - Health Facilities,Q3. HRH data is reviewed and used to inform decision making,3,3,3,3_3_3,5,All data reviewed routinely and frequently,Use data to place cadre.
Four,Information Technology,Q1. Describe the information technology systems of the organization,1,1,4,4_1_1,2,System exists but does not meet operational needs ,
Four,Information Technology,"Q2. Are IT systems adequate for the current staff size, including expected growth over the next year?",2,1,4,4_1_2,3,Systems are adequate for the current staff size but may require moderate investment or upgrades ,"For the projects LEADR and CoHipSEC the IT systems are adequate for the current staff size. However for the COE, the systems are strained."
Four,Information Technology,Q3. Are IT systems networked? Are IT systems backed up?,3,1,4,4_1_3,3,"Systems are moderately networked, with some limitations in inter-departmental communication or data sharing ",The Satellite clinics and the projects all have standalone systems that are centrally brought together to manage the final outputs of data processed through the systems.
Four,Organizational Technology & Operations,Q1. There is a formal and organized medical records system at the facilities,1,2,4,4_2_1,4,"Extensive electronic medical records, system supports robust data analysis",The CoHipSEC and LEADR project use DHIS2 based dashboards.
Four,Organizational Technology & Operations,Q2. Our organization uses up-to-date technology to support its operations,2,2,4,4_2_2,3,"Uses relatively current technology, with occasional updates to maintain operational efficiency",
Four,Organizational Technology & Operations,Q3. Our physical workplace infrastructure for data security is secure and reliable,3,2,4,4_2_3,5,Includes integrated physical and cyber system threat detection,The COE and the projects all have robust security (5) and the SCOEs are slightly challenged (3)
Four,Organizational Technology & Operations,Q4. Our organization adapts to emerging technologies to maintain high performance,4,2,4,4_2_4,3,Invests and adopts emerging technologies at a standard pace,"There are a few technological needs that have been identified but still to receive funding commitment including PowerBI, Office 365, HR system"
Four,Organizational Technology & Operations,Q5. Employees receive adequate training and support to use technology effectively in their role,5,2,4,4_2_5,4,Strong emphasis on comprehensive technology training for employees.,The team has already started deliberately offering training on new technology.
Four,Organizational Technology & Operations,Q6. The physical space is adequate for effective implementation of our work-related responsibilities,6,2,4,4_2_6,5,"Work areas are spacious, well-lit, provide for privacy and also allows for collaborative spaces for teamwork",
Four,Data Use For Decision-Making,Q1. Organization has and uses data management tools,1,3,4,4_3_1,4,"Comprehensive set of data management tools, used to support data analysis and operations",Currently using DHIS2 for Data Management but have funds secured for NVivo and Tableau
Four,Data Use For Decision-Making,Q2. What data sources do you use for programmatic decision making?,2,3,4,4_3_2,4,"The organization uses a moderate range of data sources for decision-making, primarily relying on internal historical data and some external information. ",
